Id,EssaySet,Score1,Score2,EssayText,split,CorrectedSpellingEssayText
8070,4,0,0.0,I dont no what the would invasive mean.,train,I don't know what the word invasive means.
8071,4,1,1.0,The word invasive is significant to this article. The author uses the word invasive to describe animals that have immigrated to a new enviornment. Even the tittle: one man's pets another's invasive species is important in this article.,train,The word invasive is significant to this article. The author uses the word invasive to describe animals that have immigrated to a new environment. Even the title: one man's pet another's invasive species is important in this article.
8072,4,0,0.0,"The significance of the word invasive is meaning the meaning of the word. So invasive would me different because everytime they use the word its before ""species"", like ""They're introduced"" I think that 'invasive' is passing judgment"" or ""to me its on wonderful introduction"". I think the word mean different because there are different type of animals.",train,"The significance of the word invasive is the meaning of the word. So invasive would be different because every time they use the word, it's before ""species"", like ""They're introduced."" I think that 'invasive' is passing judgment or ""to me, it's one wonderful introduction."" I think the word means different because there are different types of animals."
8073,4,1,1.0,"The word ""invasive""  in the article is used in the context of invasive species, eliminating other species and invading the native habitats of other animals. The article discusses the growing amany of invasive python species and the different viewpoints on how to handle it.",train,"The word ""invasive"" in the article is used in the context of invasive species, eliminating other species and invading the native habitats of other animals. The article discusses the growing amount of invasive python species and the different viewpoints on how to handle it."
8074,4,1,1.0,"The significance of the word ''invasive'' to the rest of the article is that these animals are not invasive, they are being introduced to the U.S. by people like RobRay MacInnes, who import them here to sell on the market.",train,"The significance of the word ''invasive'' to the rest of the article is that these animals are not invasive, they are being introduced to the U.S. by people like Rob Ray MacInnes, who import them here to sell on the market."
8075,4,0,0.0,The word invasive like says in the article mean a animals that passed judgement.,train,"The word invasive, like it says in the article, means animals that pass judgment."
8076,4,1,1.0,"The article focuses on the introduction of the native species of reptiles. These intruders are called invasive species because they tend to conquer or take over the new habitat, forcing out other native species.",train,"The article focuses on the introduction of the native species of reptiles. These intruders are called invasive species because they tend to conquer or take over the new habitat, forcing out other native species."
8077,4,2,1.0,"The word invasive is very important to the article and also explains alot about the way the animals act in the area. Without any natural predators the pythons living in the everglades have nothing to kill them to keep their population down. This makes them ""invasive"" because they are taking over a once stable environment.",train,"The word invasive is very important to the article and also explains a lot about the way the animals act in the area. Without any natural predators, the pythons living in the Everglades have nothing to kill them to keep their population down. This makes them ""invasive"" because they are taking over a once stable environment."
8078,4,1,1.0,"I believe in this article ""invasive"" means hidden/unchecked or referred to pythons MaccInnes  uses this word when he states "" I think that invasive  is passing judgement"" he used this because he in happy that pythons are going birth and the number is increasing where others say its ""invasive"" as  in this is not a good thing this is how invasive was used.",train,"I believe in this article ""invasive"" means hidden/unchecked or refers to pythons. MacInnes uses this word when he states, ""I think that 'invasive' is passing judgment."" He used this because he is happy that pythons are giving birth and their number is increasing, whereas others say it's ""invasive"" as in this is not a good thing. This is how ""invasive"" was used."
8079,4,1,1.0,"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For an example, in the article they speaks of how the Nile nonnter lead. can now be found around cape soral. The animal has the word ""Nile"" in its name.. its obviously not a native species to Florida.",train,"Invasive, meaning a foreign species that has made a home somewhere it isn't native to. For example, in the article, they speak of how the Nile monitor lizard can now be found around Cape Coral. The animal has the word ""Nile"" in its name; it's obviously not a native species to Florida."
8080,4,1,2.0,The significance of the word invasive is that the python and other reptiles are coming to areas where they don't belong. One man might like the reptile but another man sees that it will backfire on soon harm the habitat. It's living in and expand its population causing that habitat its new habitat where it will now live.,train,"The significance of the word invasive is that the python and other reptiles are coming to areas where they don't belong. One man might like the reptile, but another man sees that it will backfire soon and harm the habitat it's living in and expand its population, causing that habitat to become its new habitat where it will now live."
8081,4,1,1.0,"Invasive means something that invades an area. This is important in the article because the main idea is that pythons are an "" invasive"" species in the Everglades in Florida. without understanding the word invasive, one would not understand the arguements presented by Bob Roy MacInnes or skip show on the positive or negative affects of pythons as invasive species.",train,"Invasive means something that invades an area. This is important in the article because the main idea is that pythons are an ""invasive"" species in the Everglades in Florida. Without understanding the word invasive, one would not understand the arguments presented by Bob Roy MacInnes or Skip Show on the positive or negative effects of pythons as invasive species."
8082,4,0,1.0,"The word ""invasive"" is very appropriate for almost all of the article arguments in both positive and negative ways. Some argue that pythons are not invasive, while some support with counter-arguments that they are not exclusive when it comes to requirements some species are also very invasive and support that the world it is constantly changing.",train,"The word ""invasive"" is very appropriate for almost all of the article's arguments in both positive and negative ways. Some argue that pythons are not invasive, while some counter with arguments that they are not exclusive when it comes to requirements; some species are also very invasive and support that the world is constantly changing."
8083,4,0,0.0,The significance of the word invasive is passing judgement because in the rest paragraph 7 it says I think that invasive is passing judgement and that's how I think it relates to the story.,train,The significance of the word invasive is passing judgment because in the rest of paragraph 7 it says I think that invasive is passing judgment and that's how I think it relates to the story.
8084,4,1,1.0,"In the article, "" one mans pet, another' invasive species"" by Joel Achenback, the word invasive is very significant. This is because the python is an invasive species. Also the article talks about other invasive species, ""... a raccoon, a python, a cockroach, a white tailed deer"" (Achenback 4) Lastly, the article corrects ""invasive"" with ""generalist"" when talking about the five mentioned species.",train,"In the article, ""One Man's Pet, Another’s Invasive Species"" by Joel Achenbach, the word invasive is very significant. This is because the python is an invasive species. Also, the article talks about other invasive species, ""... a raccoon, a python, a cockroach, a white-tailed deer"" (Achenbach 4). Lastly, the article corrects ""invasive"" with ""generalist"" when talking about the five mentioned species."
8085,4,1,1.0,"The significance of ""invasive"" is that there is controversy on whether or not these animals are harmful to society and therefore ""invasive"" or if they are just being introduced to society and they are not doing anything negative.",train,"The significance of ""invasive"" is that there is controversy over whether or not these animals are harmful to society and therefore ""invasive"" or if they are just being introduced to society and they are not doing anything negative."
8086,4,0,1.0,"The significance of the word ""invasive"" to the rest of the article means strange animals, have a place in our society, our homes, with no question. In paragraph 7, ""Invasive species is unfair."" This means that just because their not our everyday animal doesn't mean you can't form a life for them!",train,"The significance of the word ""invasive"" to the rest of the article means strange animals have a place in our society, our homes, with no question. In paragraph 7, ""Invasive species is unfair."" This means that just because they're not our everyday animal doesn't mean you can't form a life for them!"
8087,4,2,2.0,"The word ""invasive"" means intruding. Invasive species, like the python in the everglades are beginning to threat native species. They are new animals that threat biodiversity. These animals can cause animals to become extinct and are generalist so they can adapt to different environments and affect other people and organism's in and existence.",train,"The word ""invasive"" means intruding. Invasive species, like the python in the Everglades, are beginning to threaten native species. They are new animals that threaten biodiversity. These animals can cause other animals to become extinct and are generalists, so they can adapt to different environments and affect other people and organisms in existence."
8088,4,1,0.0,"Invassive as to almost coming right up too. In this article it is used to devicte a species invading and going, were people think it shouldn't be.",train,Invasive as to almost coming right up to. In this article it is used to depict a species invading and going where people think it shouldn't be.
8089,4,0,0.0,"The significance of the word invasive is it can be used as a powerful word. It can also we used to pass judgement on your thoughts and concerns about a topic. According to source two ""even the term invasive species"" is unfair he said, ""They're introduced I think that ""invasive"" is a good judgement. I supose that invasive has a strong meaning behind itself.",train,"The significance of the word invasive is it can be used as a powerful word. It can also be used to pass judgment on your thoughts and concerns about a topic. According to source two ""even the term invasive species"" is unfair, he said, ""They're introduced. I think that ""invasive"" is a good judgment. I suppose that invasive has a strong meaning behind itself."
8090,4,1,1.0,The significance of the word invasive is to explain that the animal is invading our home land and people that the animal poses a threat in the article they say that reptiles are invasive species but MacInnes says that government overestimate the threat of these species some are cammercially attractive.,train,"The significance of the word invasive is to explain that the animal is invading our homeland and that the animal poses a threat. In the article, they say that reptiles are invasive species, but MacInnes says that the government overestimates the threat of these species. Some are commercially attractive."
8091,4,0,0.0,I think that the word invasive is like saying people are not supportive of animals like that because not a lot of people own them and when they an see them there scared because they are not being supportive about them.,train,I think that the word invasive is like saying people are not supportive of animals like that because not a lot of people own them and when they see them they're scared because they are not being supportive of them.
8092,4,1,1.0,"The significance of the word ""Invasive"" is that when people hear it to them it sounds dangerous and leathal but it really doesnt means that. In the article the author wrote that ""Even the term ""Invasive species"" is unfair, they're introduced."" So what he saying is that just because someone calls them ""Invasive species doesnt mean thare harmful, if kept in controlled environment.",train,"The significance of the word ""Invasive"" is that when people hear it, it sounds dangerous and lethal, but it really doesn't mean that. In the article, the author wrote that ""Even the term 'invasive species' is unfair; they're introduced."" So what he is saying is that just because someone calls them ""invasive species"" doesn't mean they are harmful, if kept in a controlled environment."
8093,4,2,2.0,"The word, ""invasive"" plays a very important role in the article. Biologists, such as Skip Snow claim that these reptilian species of pythons and lizards are ""invasive"". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some such as RobRay MacInnes, argue otherwise, ""Invasive is the rod of the controversy over these reptiles.",train,"The word, ""invasive"" plays a very important role in the article. Biologists, such as Skip Snow, claim that these reptilian species of pythons and lizards are ""invasive"". This conclusion was reached by their adaptability to multiple environments and disrupting the ecosystems. However, some, such as Rob Ray MacInnes, argue otherwise, ""Invasive is the root of the controversy over these reptiles."""
8094,4,2,2.0,"The significance of the word ""invasive"" in this article is an animal put into a habitat not its own.This animal if a generalist species will affect  the habitat badly because it will hurt the ecosystem by killing species that normally another animal would eat.The python is described in this article as invasive because it is not their natural habitat.",train,"The significance of the word ""invasive"" in this article is an animal put into a habitat not its own. This animal, if a generalist species, will affect the habitat badly because it will hurt the ecosystem by killing species that normally another animal would eat. The python is described in this article as invasive because it is not its natural habitat."
8095,4,1,1.0,"The significance of the word ""Invasive"" is like they were sent here but are not ment to be here. ""Biologists, however, say that invasive species unchecked by natural predators, are major threats to biodiversity.""",train,"The significance of the word ""Invasive"" is like they were sent here but are not meant to be here. ""Biologists, however, say that invasive species unchecked by natural predators are major threats to biodiversity."""
8096,4,1,1.0,"The word invasive is significant to the article because in one part of article it is used in a good sense saying that invasive species are giving a broader look at pets put in other parts of the article it is used in a bad sence, stating that the species are taking over too much wit people live in the wild also that the species should stay on their native area.",train,"The word invasive is significant to the article because in one part of the article it is used in a good sense, saying that invasive species are giving a broader look at pets, but in other parts of the article, it is used in a bad sense, stating that the species are taking over too much where people live in the wild, also that the species should stay in their native area."
8097,4,0,0.0,"The significane of the wod ""invasive"" is truely meaning a endaged species or animal. The articles tittle say that the snake is a  pet to some but nether less a wild reptile to others. The word refers to basically every paragrah because that what their talking about. The word can clearly go towards the whole article.",train,"The significance of the word ""invasive"" is truly meaning an endangered species or animal. The article's title says that the snake is a pet to some but nevertheless a wild reptile to others. The word refers to basically every paragraph because that's what they're talking about. The word can clearly go towards the whole article."
8098,4,1,0.0,The word invasive is significant because they informs you that these animals are dangerous and shouldn't be kept as pets because they arent used to the area's they are kept. This is why MacInnes says they should say introduced instead because its not as bad.,train,The word invasive is significant because it informs you that these animals are dangerous and shouldn't be kept as pets because they aren't used to the areas they are kept. This is why MacInnes says they should say introduced instead because it's not as bad.
8099,4,0,0.0,Invasive means that the species kind of was introduct to an area. The species does not adapt to the new environment.,train,Invasive means that the species was introduced to an area. The species does not adapt to the new environment.
8100,4,1,1.0,"The word invasive was used in context saying ""invasive species"", said by McInnes . I think the word would mean to not belong somewhere, but it is a personal opinion the way you feel about it. MacInnes feels it shouldn't be used because they're being ""introduced"", and that it's a ""passing judgement.""",train,"The word invasive was used in context saying ""invasive species,"" said by McInnes. I think the word would mean to not belong somewhere, but it is a personal opinion the way you feel about it. McInnes feels it shouldn't be used because they're being ""introduced,"" and that it's a ""passing judgement."""
8101,4,2,2.0,"In this article, the word ""invasive"" means animals that have taken over area, unchecked by natural predators, that are major threats to biodiversity. For example, the article says that the pythons in Florida are imperiling five endangered species. This could lead to an unbalance in the enviroment. Invasive animals could also stretch their habitat to a larger area.",train,"In this article, the word ""invasive"" means animals that have taken over an area, unchecked by natural predators, that are major threats to biodiversity. For example, the article says that the pythons in Florida are imperiling five endangered species. This could lead to an imbalance in the environment. Invasive animals could also stretch their habitat to a larger area."
8102,4,0,0.0,"The significance of the word invasive in the article is big due to the fact that this article mainly talks about invasive animals such as snakes, pythons etc. Also it talks about the animals that are not invasive such as the koala and the panda.",train,"The significance of the word ""invasive"" in the article is significant due to the fact that this article mainly talks about invasive animals such as snakes, pythons, etc. Also, it talks about the animals that are not invasive such as the koala and the panda."
8103,4,1,1.0,'Invasive' is an important word because it perfectly describes the snakes. They are extremely invasive in the ways they have spread like in the everglades.,train,'Invasive' is an important word because it perfectly describes the snakes. They are extremely invasive in the ways they have spread like in the Everglades.
8104,4,1,1.0,Robray MacInnes says invasive is the wrong term to use for pythons. he says this new concept should be called introducian because they are introducing the best thing to happen to the Everglades in the last 200 years.,train,Robray MacInnes says invasive is the wrong term to use for pythons. He says this new concept should be called introduction because they are introducing the best thing to happen to the Everglades in the last 200 years.
8105,4,1,1.0,The word shows that these animals are unwanted and are invading areas and killing almost extinct animals such as a mouse so althogether the article is showing that the word invasive means that these animals such as pythons are invading these areas.,train,The word shows that these animals are unwanted and are invading areas and killing almost extinct animals such as a mouse so altogether the article is showing that the word invasive means that these animals such as pythons are invading these areas.
8106,4,1,0.0,Invasive in this article when your refering to species means a cold specie that can be treated as a pet but because of it natural instants can be a threat or dangerous towards you.One particular invasive species that is talked about in this article is the python. A snake that many people keep as pets but is also a wild specie that is poisonous.,train,Invasive in this article when you're referring to species means a cold species that can be treated as a pet but because of its natural instincts can be a threat or dangerous towards you. One particular invasive species that is talked about in this article is the python. A snake that many people keep as pets but is also a wild species that is poisonous.
8107,4,1,1.0,"Invasive in this article means an animal that has entered into human territory in the article it says ""trade in nonnative creatures as a factor in the rising number of invasive species such as Burmese Pythons"" showing that pythons are invasive animals.",train,"Invasive in this article means an animal that has entered into human territory. In the article, it says ""trade in nonnative creatures as a factor in the rising number of invasive species such as Burmese pythons,"" showing that pythons are invasive animals."
8108,4,2,2.0,"Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species.",train,"Invasive in the context of this article means species, such as the Burmese python and the Nile monitor lizard, do not have predators here in the U.S. to hunt them. This is very significant because this means their numbers cannot be kept in check and they might overpopulate. Complications will ensue without natural barriers for these species."
